Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
25-29,Woman,Master's,Currently not employed,,,,,1-3 years,1-2 years,laptop,,Never,,Yes,Yes,,,,,,,,,,,
18-21,Prefer not to say,college study without degree,Currently not employed,,,,,1-3 years,,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
40-44,Man,Bachelor's,Currently not employed,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,,,,Yes,,Yes,,,,
35-39,Man,Master's,Other,Military/Security/Defense,250-999 employees,well established,"70,000-79,999",5-10 years,5-10 years,laptop,,Never,Local development environments,,Yes,,Yes,,,,,Yes,,,Yes,
30-34,Man,Bachelor's,Software Engineer,Military/Security/Defense,"1000-9,999 employees",exploring,"80,000-89,999",1-3 years,Under 1 year,laptop,,2-5 times,Other,Yes,,Yes,,,,,,Yes,,,,
60-69,Man,Doctoral,Statistician,Government/Public Service,"10,000 or more employees",I do not know,"100,000-124,999",20+ years,I do not use machine learning methods,desktop,,Never,Advanced statistical software,,,,,,,,,,,,,
30-34,Nonbinary,Bachelor's,Currently not employed,,,,,3-5 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,,,,,,,,,
18-21,Woman,Master's,Student,,,,,1-3 years,I do not use machine learning methods,desktop,,Never,,Yes,Yes,Yes,,,,,,,,,,
40-44,Man,Master's,Data Scientist,Computers/Technology,"10,000 or more employees",well established,"300,000-499,999",10-20 years,5-10 years,cloud computing platform,,Never,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30-34,Man,Doctoral,Research Scientist,Accounting/Finance,"1000-9,999 employees",well established,"100,000-124,999",3-5 years,1-2 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
22-24,Man,Master's,Student,,,,,3-5 years,2-3 years,laptop,,Never,Basic statistical software,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
45-49,Woman,Master's,Statistician,Medical/Pharmaceutical,"10,000 or more employees",recently started,"200,000-249,999",20+ years,3-4 years,cloud computing platform,,Never,Local development environments,,Yes,,,,,,Yes,Yes,Yes,,,
60-69,Man,Master's,Business Analyst,Military/Security/Defense,"10,000 or more employees",recently started,"150,000-199,999",20+ years,2-3 years,desktop,Microsoft SQL Server ,2-5 times,Basic statistical software,Yes,,Yes,Yes,Yes,,Yes,,,,,Yes,Yes
50-54,Man,Master's,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",well established,"200,000-249,999",20+ years,4-5 years,cloud computing platform,Amazon Redshift ,2-5 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
50-54,Man,Bachelor's,Program/Project Manager,Medical/Pharmaceutical,0-49 employees,do not use,"150,000-199,999",10-20 years,I do not use machine learning methods,desktop,Microsoft SQL Server ,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
25-29,Man,Master's,Software Engineer,Medical/Pharmaceutical,50-249 employees,I do not know,0-999,5-10 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,,,,,,Yes,,,
25-29,Man,Doctoral,Machine Learning Engineer,Computers/Technology,250-999 employees,I do not know,"1,000-1,999",3-5 years,1-2 years,desktop,,Once,,Yes,,,,Yes,Yes,,,Yes,,,,Yes
25-29,Man,Professional doctorate,Business Analyst,Academics/Education,50-249 employees,I do not know,"2,000-2,999",20+ years,1-2 years,cloud computing platform,,6-25 times,Advanced statistical software,Yes,,,,,,,,,,,,
35-39,Nonbinary,Master's,Machine Learning Engineer,Computers/Technology,0-49 employees,exploring,0-999,5-10 years,2-3 years,laptop,Google Cloud BigQuery ,2-5 times,,Yes,Yes,Yes,,Yes,Yes,,,,Yes,,,
50-54,Woman,Master's,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",I do not know,"90,000-99,999",20+ years,I do not use machine learning methods,Other,,Never,Advanced statistical software,Yes,,Yes,,,,,,,,,,
40-44,Woman,Bachelor's,Program/Project Manager,Other,50-249 employees,do not use,"60,000-69,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
45-49,Man,Master's,Other,Academics/Education,250-999 employees,I do not know,"60,000-69,999",I have never written code,,,,,Other,,,,,,,,,,,,,
45-49,Woman,Doctoral,Other,Non-profit/Service,250-999 employees,do not use,"100,000-124,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
50-54,Man,Bachelor's,Data Scientist,Academics/Education,50-249 employees,exploring,"200,000-249,999",20+ years,10-20 years,laptop,Microsoft Azure SQL Database ,More than 25 times,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes
60-69,Man,Master's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,,Yes,,,
35-39,Woman,Master's,Other,Shipping/Transportation,0-49 employees,exploring,"30,000-39,999",5-10 years,5-10 years,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
25-29,Man,Bachelor's,Data Analyst,Computers/Technology,50-249 employees,well established,"100,000-124,999",1-3 years,1-2 years,laptop,,Never,,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
50-54,Man,Master's,Data Scientist,Online Service/Internet-based Services,"10,000 or more employees",well established,"250,000-299,999",3-5 years,4-5 years,desktop,,2-5 times,Other,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
40-44,Man,Master's,Data Scientist,Other,0-49 employees,recently started,"150,000-199,999",3-5 years,3-4 years,laptop,Snowflake ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes
22-24,Man,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Local development environments,,Yes,,,,,,,,,,,
40-44,Man,Doctoral,Research Scientist,Academics/Education,"10,000 or more employees",well established,"70,000-79,999",10-20 years,5-10 years,laptop,,Never,Advanced statistical software,,,,,,,,,Yes,Yes,,Yes,
25-29,Woman,Bachelor's,Data Scientist,Marketing/CRM,"1000-9,999 employees",well established,"90,000-99,999",3-5 years,1-2 years,laptop,MySQL ,Never,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
30-34,Man,Master's,Machine Learning Engineer,Medical/Pharmaceutical,"10,000 or more employees",well established,"125,000-149,999",10-20 years,5-10 years,laptop,Snowflake ,Never,Local development environments,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
30-34,Man,Master's,Student,,,,,3-5 years,3-4 years,desktop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
25-29,Man,college study without degree,Software Engineer,Computers/Technology,0-49 employees,recently started,"40,000-49,999",1-3 years,Under 1 year,desktop,,Never,Cloud-based data software & APIs,Yes,,,,,,Yes,,,,,,
25-29,Man,Master's,Data Scientist,Academics/Education,50-249 employees,recently started,"90,000-99,999",< 1 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,Yes
35-39,Man,Doctoral,Software Engineer,Accounting/Finance,"1000-9,999 employees",well established,"300,000-499,999",20+ years,20 or more years,cloud computing platform,Amazon Redshift ,2-5 times,Cloud-based data software & APIs,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
35-39,Man,Master's,Data Engineer,Other,50-249 employees,recently started,"150,000-199,999",20+ years,5-10 years,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,,,,
50-54,Woman,Master's,Product Manager,Retail/Sales,250-999 employees,recently started,"150,000-199,999",10-20 years,20 or more years,laptop,,Never,Advanced statistical software,Yes,Yes,,,,,,,Yes,Yes,Yes,,
55-59,Man,Master's,Data Scientist,Medical/Pharmaceutical,250-999 employees,for insights only,"150,000-199,999",20+ years,5-10 years,laptop,Google Cloud SQL ,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
25-29,Woman,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes
55-59,Man,Doctoral,Data Scientist,Computers/Technology,0-49 employees,do not use,">1,000,000",20+ years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,,,,,
22-24,Man,Master's,Student,,,,,3-5 years,1-2 years,laptop,,Once,Local development environments,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
55-59,Man,college study without degree,Data Engineer,Medical/Pharmaceutical,250-999 employees,I do not know,"90,000-99,999",20+ years,Under 1 year,laptop,,2-5 times,Advanced statistical software,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
30-34,Man,Doctoral,Research Scientist,Academics/Education,0-49 employees,exploring,0-999,5-10 years,4-5 years,deep learning workstation,,Never,Other,Yes,,,,Yes,Yes,,,,,,,Yes
60-69,Man,Master's,Data Analyst,Computers/Technology,"10,000 or more employees",I do not know,"30,000-39,999",10-20 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
30-34,Nonbinary,Professional doctorate,Machine Learning Engineer,Non-profit/Service,0-49 employees,do not use,"80,000-89,999",1-3 years,Under 1 year,laptop,,Once,Local development environments,Yes,,,Yes,Yes,,Yes,,,Yes,Yes,,Yes
35-39,Man,Master's,Program/Project Manager,Manufacturing/Fabrication,"10,000 or more employees",do not use,"70,000-79,999",10-20 years,Under 1 year,laptop,,Never,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,
18-21,Woman,Bachelor's,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
25-29,Man,Bachelor's,Student,,,,,5-10 years,1-2 years,desktop,,Never,Local development environments,Yes,,,Yes,Yes,,Yes,,,,Yes,,Yes
22-24,Man,Master's,Student,,,,,3-5 years,1-2 years,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,
22-24,Woman,Master's,Data Analyst,,,,,< 1 years,,laptop,,,,Yes,,Yes,,,,,,,,,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,,,,Yes,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Computers/Technology,0-49 employees,recently started,0-999,5-10 years,5-10 years,laptop,,Never,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,Yes
22-24,Man,Bachelor's,Student,,,,,3-5 years,Under 1 year,desktop,,Once,Basic statistical software,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
40-44,Man,Bachelor's,Other,Computers/Technology,"10,000 or more employees",recently started,"300,000-499,999",10-20 years,3-4 years,laptop,,Never,Local development environments,Yes,,,Yes,,,,,Yes,Yes,Yes,,Yes
55-59,Man,Bachelor's,Program/Project Manager,Broadcasting/Communications,"10,000 or more employees",recently started,"100,000-124,999",20+ years,2-3 years,laptop,Microsoft SQL Server ,2-5 times,Basic statistical software,Yes,,,Yes,,Yes,,,Yes,,,,
55-59,Man,Doctoral,Data Scientist,Manufacturing/Fabrication,"10,000 or more employees",recently started,"125,000-149,999",20+ years,5-10 years,cloud computing platform,,Never,,Yes,,Yes,Yes,,,,,Yes,Yes,,,
25-29,Woman,Bachelor's,Software Engineer,Computers/Technology,"1000-9,999 employees",recently started,"70,000-79,999",3-5 years,3-4 years,cloud computing platform,Amazon Redshift ,2-5 times,Business intelligence software,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,
22-24,Woman,Bachelor's,Data Analyst,Accounting/Finance,50-249 employees,do not use,"50,000-59,999",< 1 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
50-54,Man,Master's,Student,,,,,3-5 years,2-3 years,desktop,,Never,Local development environments,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes
22-24,Man,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,Yes,Yes,Yes,Yes
35-39,Man,Master's,Research Scientist,Academics/Education,0-49 employees,do not use,"80,000-89,999",3-5 years,2-3 years,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,,Yes,,Yes,,
25-29,Man,Master's,Student,,,,,1-3 years,1-2 years,laptop,,Never,Basic statistical software,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,Yes,Yes,,,,,Yes,,,,
30-34,Man,Bachelor's,Software Engineer,Computers/Technology,50-249 employees,do not use,"100,000-124,999",10-20 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,,,Yes,,,,,,Yes
55-59,Woman,Master's,Other,Government/Public Service,"10,000 or more employees",well established,"150,000-199,999",3-5 years,4-5 years,laptop,MySQL ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes
55-59,Woman,Master's,Data Analyst,Military/Security/Defense,"10,000 or more employees",exploring,"100,000-124,999",5-10 years,Under 1 year,desktop,Microsoft SQL Server ,Never,Business intelligence software,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,,
25-29,Man,Doctoral,Student,,,,,5-10 years,3-4 years,desktop,,2-5 times,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes
35-39,Man,Master's,Data Scientist,Government/Public Service,"1000-9,999 employees",recently started,"150,000-199,999",10-20 years,10-20 years,laptop,PostgreSQL ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
30-34,Man,Bachelor's,Data Analyst,Computers/Technology,0-49 employees,do not use,"60,000-69,999",< 1 years,1-2 years,deep learning workstation,,Never,Local development environments,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,
35-39,Man,Master's,Software Engineer,Computers/Technology,"10,000 or more employees",I do not know,"100,000-124,999",< 1 years,Under 1 year,laptop,,Once,,Yes,,Yes,Yes,,,,,Yes,Yes,,Yes,
30-34,Man,Master's,Data Scientist,Accounting/Finance,50-249 employees,well established,"200,000-249,999",10-20 years,5-10 years,cloud computing platform,,2-5 times,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,
40-44,Man,Master's,Other,Military/Security/Defense,"10,000 or more employees",exploring,"150,000-199,999",3-5 years,1-2 years,laptop,MongoDB ,6-25 times,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50-54,Man,Master's,Research Scientist,Computers/Technology,"10,000 or more employees",well established,"250,000-299,999",20+ years,2-3 years,laptop,,Never,Basic statistical software,Yes,,,Yes,Yes,Yes,Yes,,,Yes,,,Yes
60-69,Man,Master's,Software Engineer,Computers/Technology,"10,000 or more employees",I do not know,"125,000-149,999",20+ years,I do not use machine learning methods,laptop,,Never,Basic statistical software,Yes,,Yes,,,,,,,,,,
50-54,Man,Master's,Business Analyst,Accounting/Finance,"10,000 or more employees",I do not know,"90,000-99,999",< 1 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,Yes
60-69,Man,Bachelor's,Research Scientist,Military/Security/Defense,"10,000 or more employees",recently started,"125,000-149,999",20+ years,5-10 years,cloud computing platform,MySQL ,6-25 times,Local development environments,Yes,,,Yes,,,Yes,,,Yes,Yes,Yes,
40-44,Man,Bachelor's,Currently not employed,,,,,5-10 years,Under 1 year,desktop,,Never,Business intelligence software,Yes,,Yes,,,,,,,,,,
40-44,Man,Doctoral,Data Scientist,Online Business/Internet-based Sales,250-999 employees,well established,"150,000-199,999",10-20 years,4-5 years,laptop,,Never,Local development environments,Yes,,,Yes,,,,,Yes,,Yes,,
50-54,Man,Master's,Student,,,,,1-3 years,Under 1 year,cloud computing platform,,Once,Cloud-based data software & APIs,,,,,Yes,,,,,Yes,,,
25-29,Man,Bachelor's,Software Engineer,Accounting/Finance,"10,000 or more employees",recently started,"100,000-124,999",1-3 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,,,Yes,,,,,,Yes,,,
30-34,Man,Doctoral,Research Scientist,Academics/Education,50-249 employees,for insights only,"50,000-59,999",5-10 years,4-5 years,laptop,,2-5 times,Basic statistical software,Yes,,,,,Yes,Yes,,,,,,
22-24,Man,Master's,Student,,,,,3-5 years,Under 1 year,laptop,,Never,,Yes,,Yes,,Yes,,,,,,,,
40-44,Man,Master's,Data Scientist,Academics/Education,"1000-9,999 employees",recently started,"80,000-89,999",10-20 years,2-3 years,cloud computing platform,,Never,Local development environments,,Yes,,,,Yes,,,Yes,,,,Yes
35-39,Man,Bachelor's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Once,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
18-21,Woman,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,,,,
50-54,Man,Master's,Research Scientist,Other,"1000-9,999 employees",exploring,"125,000-149,999",5-10 years,5-10 years,laptop,,Never,Local development environments,,Yes,,,,,,Yes,Yes,Yes,Yes,,
22-24,Woman,Bachelor's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,Yes,,,,,Yes,Yes,,,
22-24,Man,Bachelor's,Research Scientist,Academics/Education,0-49 employees,exploring,"20,000-24,999",3-5 years,2-3 years,desktop,,Once,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
25-29,Man,Master's,Student,,,,,5-10 years,I do not use machine learning methods,laptop,,Never,Local development environments,,Yes,,,,,,,,,,,
60-69,Woman,Bachelor's,Software Engineer,Computers/Technology,0-49 employees,do not use,0-999,20+ years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,,,,,,,,,,,
22-24,Man,Master's,Other,Hospitality/Entertainment/Sports,50-249 employees,do not use,"50,000-59,999",3-5 years,Under 1 year,laptop,,Never,Basic statistical software,Yes,Yes,,Yes,,,,,Yes,Yes,,,
25-29,Man,college study without degree,Student,,,,,< 1 years,I do not use machine learning methods,laptop,,Never,Business intelligence software,Yes,,,,,,,,,,,,
70+,Man,Doctoral,Other,Other,0-49 employees,I do not know,0-999,5-10 years,2-3 years,desktop,,Never,,Yes,,,Yes,,,Yes,,Yes,,,,
40-44,Woman,Master's,Data Analyst,Insurance/Risk Assessment,"1000-9,999 employees",I do not know,"100,000-124,999",1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,
25-29,Woman,Master's,Currently not employed,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,Yes,,Yes,,,,Yes,Yes,Yes,Yes,,
30-34,Man,Bachelor's,Data Analyst,Computers/Technology,0-49 employees,for insights only,"50,000-59,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
35-39,Woman,Doctoral,Machine Learning Engineer,Hospitality/Entertainment/Sports,"1000-9,999 employees",well established,"500,000-999,999",10-20 years,10-20 years,laptop,,Never,Local development environments,Yes,,,,,,,Yes,Yes,,Yes,,
30-34,Man,Master's,Machine Learning Engineer,Computers/Technology,"1000-9,999 employees",recently started,"200,000-249,999",10-20 years,3-4 years,cloud computing platform,Other,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
45-49,Man,Bachelor's,DBA/Database Engineer,Accounting/Finance,"10,000 or more employees",well established,"125,000-149,999",5-10 years,Under 1 year,laptop,,Never,Cloud-based data software & APIs,,,Yes,,,,,,,,,,
30-34,Nonbinary,Doctoral,Research Scientist,Computers/Technology,"10,000 or more employees",well established,"150,000-199,999",3-5 years,1-2 years,cloud computing platform,,More than 25 times,Local development environments,Yes,,,,Yes,,,,,,,,Yes
